3119708;49;245.72;247.22;37;1;1
3119807;31;243.4;236.09;26;0;1
3119906;79;264.17;268.52;64;2;4
3119955;79;199.89;204.41;57;0;1
3120003;49;166.54;178.8;32;1;1
3120102;52;235.85;224.04;46;0;2
3120151;130;159.34;154.86;78;4;5
3120201;152;201.42;206.52;110;1;6
3120300;134;174.64;175.42;89;3;9
3120409;107;213.61;212.95;60;0;2
3120508;130;205.53;203.96;98;0;4
3120607;57;229.16;229.55;44;0;4
3120706;90;219.53;226.2;68;2;1
3120805;220;203.43;206.78;160;1;6
3120839;62;213.12;211.0;48;0;0
3120870;143;208.8;207.49;109;2;3
3120904;1020;223.7;219.53;783;9;40
3121001;107;213.52;215.11;83;1;4
3121100;148;216.87;222.16;116;1;4
3121209;110;167.99;175.65;73;0;3
3121258;156;183.03;185.59;108;0;4
3121308;55;195.9;193.94;37;0;1
3121407;105;219.55;221.34;81;1;2
3121506;63;242.12;253.2;50;0;1
3121605;739;186.9;189.31;497;8;33
3121704;69;196.31;202.05;55;0;0
3121803;91;197.71;201.87;62;1;1
3121902;60;208.88;220.6;45;2;2
3122009;258;192.19;194.71;183;1;9
3122108;39;254.61;241.47;35;0;1
3122207;150;192.57;202.3;108;0;2
3122306;2517;228.17;230.86;1946;13;113
3122355;116;194.29;201.75;83;1;4
3122405;102;236.49;231.2;87;2;3
3122454;127;206.07;210.91;99;0;2
3122470;76;213.84;213.73;60;0;2
3122504;75;241.27;240.95;63;0;4
3122603;72;205.63;210.13;60;0;0
3122702;73;227.82;241.56;58;1;1
3122801;43;230.73;231.07;32;0;3
3122900;71;218.03;220.69;54;0;3
3123007;90;226.52;222.87;67;1;7
3123106;113;178.6;174.79;74;1;1
3123205;189;212.41;207.61;129;5;9
3123304;92;251.44;255.1;75;1;2
3123403;34;201.25;206.24;23;1;1
3123502;29;228.66;235.54;27;0;0
3123528;148;208.72;203.29;115;1;3
3123601;374;206.39;203.87;282;3;8
3123700;156;186.89;185.86;107;1;3
3123809;91;176.75;175.45;58;0;2
3123858;96;229.61;237.29;74;0;4
3123908;187;243.59;248.63;161;2;4
3124005;246;219.02;220.21;191;1;8
3124104;1111;187.98;187.48;698;10;43
3124203;288;175.72;172.7;188;1;7
3124302;470;199.84;202.76;347;6;8
3124401;66;196.37;193.02;45;0;1
3124500;127;211.47;219.51;94;0;0
3124609;25;190.87;202.36;15;0;1
3124708;26;193.55;198.26;16;0;1
3124807;93;228.06;220.64;71;1;2
3124906;119;211.81;215.53;91;0;3
3125002;67;154.16;156.42;39;0;3
3125101;430;243.4;255.1;329;12;27
3125200;26;259.95;263.79;23;0;1
3125309;45;193.24;196.68;31;2;1
3125408;96;213.93;214.23;76;1;3
3125507;53;220.46;226.08;44;1;2
3125606;81;218.35;215.42;63;0;4
3125705;197;197.69;197.78;136;3;10
3125804;49;194.72;192.83;34;2;0
3125903;174;158.15;156.36;106;0;2
3125952;45;107.87;117.05;19;1;1
3126000;127;218.52;228.51;93;0;4
3126109;779;222.93;225.56;584;8;29
3126208;149;227.52;227.24;118;2;5
3126307;51;218.17;229.66;36;0;5
3126406;44;254.42;242.38;36;0;0
3126505;130;230.31;229.97;108;0;1
3126604;53;150.89;148.88;30;1;1
3126703;378;181.11;179.64;261;6;17
3126752;92;209.68;204.13;70;1;1
3126802;100;185.84;184.1;72;0;2
3126901;201;148.11;147.33;106;1;7
3126950;63;208.16;214.68;50;0;0
3127008;175;162.34;160.83;107;2;4
3127057;81;158.28;149.96;50;1;1
3127073;123;196.58;196.07;89;3;6
3127107;626;178.73;176.3;387;9;24
3127206;78;211.35;207.8;60;0;2
3127305;97;188.28;183.5;68;1;4
3127339;70;202.06;204.25;55;1;3
3127354;49;212.62;212.19;41;0;1
3127370;51;206.83;209.31;36;0;0
3127388;67;211.99;216.38;54;0;5
3127404;70;219.44;232.14;51;1;1
3127503;119;198.85;201.65;86;1;5
3127602;185;210.52;211.98;146;1;1
3127701;3570;182.06;181.38;2129;81;213
3127800;265;187.88;184.77;182;4;6
3127909;26;212.95;203.6;20;0;0
3128006;543;179.83;178.49;348;5;14
3128105;227;213.33;218.44;176;2;7
3128204;131;200.51;199.16;98;0;1
3128253;80;188.56;190.18;56;0;0
3128303;253;208.68;214.29;187;4;9
3128402;83;247.28;246.36;68;0;2
3128501;30;245.87;259.84;25;0;1
3128600;94;189.33;193.3;64;0;2
3128709;540;223.28;226.19;410;9;11
3128808;60;268.62;271.57;54;1;2
3128907;96;192.75;201.22;66;3;2
3129004;101;235.44;245.28;82;2;2
3129103;71;173.15;176.17;46;0;4
3129202;84;234.35;241.11;69;1;2
3129301;131;212.7;223.1;100;0;7
3129400;77;232.71;230.4;67;1;1
3129509;256;205.71;205.53;174;3;13
3129608;119;189.76;190.22;88;1;1
3129657;134;165.41;169.56;88;0;2
3129707;157;196.86;199.77;115;1;2
3129806;2264;186.88;187.84;1477;32;127
3129905;45;178.42;179.32;30;0;2
3130002;56;220.56;221.09;46;0;2
3130051;144;196.16;199.17;104;2;4
3130101;642;170.1;173.05;366;12;38
3130200;149;220.77;222.33;114;0;3
3130309;58;248.84;256.73;46;1;6
3130408;74;249.77;240.24;65;0;1
3130507;165;229.5;232.08;130;1;3
3130556;122;175.52;175.58;79;0;1
3130606;69;178.65;182.78;44;1;0
3130655;155;217.14;219.52;127;5;3
3130705;82;207.33;208.01;59;1;1
3130804;47;183.42;180.3;33;0;0
3130903;314;202.22;206.5;230;4;8
3131000;92;210.79;209.52;68;1;4
3131109;100;211.98;219.55;82;0;1
3131158;304;206.61;211.28;239;2;7
3131208;256;225.59;221.82;198;3;9
3131307;2802;228.6;229.44;2028;43;163
3131406;62;219.56;213.21;44;1;2
3131505;114;206.2;216.86;79;1;5
3131604;81;206.98;214.36;63;0;1
3131703;1381;207.44;207.95;988;8;52
3131802;141;226.4;221.25;119;0;3
3131901;689;230.53;234.66;519;4;30
3132008;57;211.25;220.56;46;0;0
3132107;307;189.43;187.28;215;1;4
3132206;192;247.44;256.1;168;0;4
3132305;201;185.11;189.05;143;0;5
3132404;871;215.94;218.89;634;13;39
3132503;685;225.89;230.7;540;4;16
3132602;50;211.78;216.15;39;1;1
3132701;385;181.03;182.01;258;7;19
3132800;30;160.29;166.56;17;0;0
3132909;129;227.69;230.34;104;2;2
3133006;153;207.86;215.56;103;3;11
3133105;193;245.44;242.86;154;3;15
3133204;162;192.39;195.2;118;1;3
3133303;360;179.56;180.56;238;4;13
3133402;152;235.47;255.73;123;1;6
3133501;244;201.76;202.03;175;3;7
3133600;173;214.55;217.55;125;2;4
3133709;177;212.03;218.12;129;1;6
3133758;156;264.03;265.95;135;1;5
3133808;1003;217.42;221.2;723;8;53
3133907;92;194.65;197.62;68;2;1
3134004;279;162.81;163.92;179;3;4
3134103;102;185.22;184.13;66;1;2
3134202;1082;220.67;218.99;812;12;47
3134301;91;183.14;179.82;63;1;2
3134400;529;204.19;203.69;363;4;25
3134509;50;215.46;218.72;38;0;4
3134608;301;202.75;209.61;223;5;16
3134707;194;181.92;179.56;141;1;3
3134806;120;228.45;229.51;95;1;2
3134905;259;234.89;228.95;204;4;7
3135001;38;183.37;190.51;25;1;2
3135050;721;190.19;188.66;507;7;20
3135076;59;183.03;191.87;45;1;0
3135100;1173;204.04;205.31;895;9;36
3135209;1087;181.02;177.75;731;8;35
3135308;80;215.42;228.57;56;2;2
3135357;152;210.06;207.51;115;3;2
3135407;74;225.64;235.53;60;0;4
3135456;151;210.04;215.24;113;3;2
3135506;175;192.09;193.52;133;1;2
3135605;119;209.37;201.66;93;0;6
3135704;97;208.67;208.99;68;0;5
3135803;433;176.19;174.76;281;9;23
3135902;77;229.11;232.12;58;0;4
3136009;323;157.24;154.22;186;3;10
3136108;67;179.64;187.78;46;0;1
3136207;867;201.64;202.61;574;9;40
3136306;764;218.11;217.5;566;10;41
3136405;61;196.38;198.79;42;0;1
3136504;193;169.06;166.9;122;4;4
3136520;65;219.06;219.55;52;0;0
3136553;79;239.2;237.54;67;1;0
3136579;96;197.42;197.97;76;1;1
3136603;105;199.05;206.97;79;0;4
3136652;487;210.67;211.45;350;4;11
3136702;5099;174.94;175.18;2908;73;300
3136801;70;191.51;193.72;52;0;2
3136900;133;228.75;251.28;105;0;5
3136959;119;196.26;199.92;88;0;3
3137007;289;174.89;173.34;196;2;6
3137106;111;195.04;196.51;80;1;4
